date,high,low,close
2001-03-09,105.0100,97.9000,99.2900
2001-03-12,98.4000,95.0200,95.4900
2001-03-13,98.4400,94.2000,98.3900
2001-03-14,98.9000,93.3400,94.9600
2001-03-15,97.8700,95.1700,95.5600
2001-03-16,93.9000,88.2000,90.1000
2001-03-19,92.8000,89.2000,92.6000
2001-03-20,92.0300,88.1000,88.3000
2001-03-21,91.6000,87.7500,89.0800
2001-03-22,91.0000,87.6500,89.1000
2001-03-23,94.9900,90.2900,93.5100
2001-03-26,95.6600,93.7500,95.4000
2001-03-27,100.0000,93.9700,99.5000
2001-03-28,98.4500,94.2500,94.4100
2001-03-29,97.0700,94.2600,95.0400
2001-03-30,97.5600,95.1400,96.1800
2001-04-02,98.1000,93.5800,94.6600
2001-04-03,94.6500,90.1000,90.3900
2001-04-04,94.0500,90.0500,92.0000
2001-04-05,100.0000,95.5300,98.2100
2001-04-06,100.0000,96.4000,97.9500
2001-04-09,98.7400,93.8000,96.0000
2001-04-10,99.9000,96.5600,99.0500
2001-04-11,101.9400,95.8000,97.4300
2001-04-12,97.5000,95.1500,96.2000
2001-04-16,99.8900,95.2000,96.7500
2001-04-17,99.8800,97.0000,99.7000
2001-04-18,110.0000,102.3000,106.5000
2001-04-19,115.9000,110.4500,114.4700
2001-04-20,116.4000,113.7500,114.8300
2001-04-23,114.0500,111.6800,112.0000
2001-04-24,114.7500,112.3000,112.6700
2001-04-25,114.8500,111.9900,114.8500
2001-04-26,116.7000,113.6800,113.7400
2001-04-27,116.9000,114.5500,116.2000
2001-04-30,118.0500,114.7200,115.1400
2001-05-01,118.6500,114.9000,118.5100
2001-05-02,118.9500,113.7400,115.4000
2001-05-03,115.1000,112.3500,113.7000
2001-05-04,115.8600,111.2000,115.8600
2001-05-07,117.2500,115.0000,115.9000
2001-05-08,117.7500,115.5000,117.7000
2001-05-09,118.1800,115.3000,116.9800
2001-05-10,118.9000,115.2000,115.2000
2001-05-11,114.1500,110.9600,111.8100
2001-05-14,113.1800,111.0000,112.5600
2001-05-15,114.1500,112.5000,113.5800
2001-05-16,115.8000,112.2000,115.8000
2001-05-17,117.0900,115.0500,115.0700
2001-05-18,117.6800,114.9000,117.4400
2001-05-21,119.9000,117.5500,119.0400
2001-05-22,119.7000,117.2500,118.0100
2001-05-23,118.9500,117.1000,117.4000
2001-05-24,119.6000,117.5000,119.6000
2001-05-25,119.9000,117.7600,117.8000
2001-05-29,117.5900,115.0800,115.2700
2001-05-30,114.1000,112.0000,112.6500
2001-05-31,113.8600,111.6400,111.8000
2001-06-01,113.6000,111.9000,112.8900
2001-06-04,114.7500,112.8500,113.6400
2001-06-05,117.6000,113.5600,116.9700
2001-06-06,119.0000,116.5000,117.5000
2001-06-07,118.2500,117.0000,117.2500
2001-06-08,117.5000,115.6000,116.1000
2001-06-11,118.1400,116.1000,117.3600
2001-06-12,117.8000,115.5500,117.2500
2001-06-13,118.4700,116.5300,116.5400
2001-06-14,116.0800,113.9900,115.7500
2001-06-15,115.4500,113.3800,113.6000
2001-06-18,115.4400,113.3100,114.2700
2001-06-19,117.2500,114.5600,114.8400
2001-06-20,114.9900,111.7600,113.0900
2001-06-21,114.7000,111.3600,112.6000
2001-06-22,114.4300,112.5000,112.8700
2001-06-25,114.9000,111.7800,112.6500
2001-06-26,114.0500,111.1000,113.0400
2001-06-27,114.1800,112.4500,113.5200
2001-06-28,116.9500,113.7500,115.1000
2001-06-29,116.6500,113.0000,113.5000
